地址,户型,面积,朝向,装修,楼层,购买时间,总价,单价,关注度,发布时间,链接
芳群园二区,2室1厅,58.65,南 北,简装,顶层(共5层),板楼,310.0,52856,11, 9个月以前发布,https://bj.lianjia.com/ershoufang/101122338120.html
北京邮电大学家属院,2室1厅,50.1,南,精装,5层,板楼,369.0,73653,54, 5个月以前发布,https://bj.lianjia.com/ershoufang/101126218217.html
恒大名都,1室1厅,60.25,西,简装,中楼层(共29层),2017年,307.0,50955,10, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126060189.html
山水蓝维,3室2厅,152.85,南 西 北,精装,中楼层(共6层),板楼,1030.0,67387,39, 3个月以前发布,https://bj.lianjia.com/ershoufang/101126105884.html
花家地西里二区,3室1厅,98.22,南 北,精装,6层,板楼,588.0,59866,19, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123782440.html
新居里,2室1厅,68.1,南 北,简装,底层(共6层),板楼,186.0,27313,10, 24天以前发布,https://bj.lianjia.com/ershoufang/101125967313.html
北大地四里,2室1厅,52.0,南 北,简装,中楼层(共5层),板楼,228.0,43847,51, 8个月以前发布,https://bj.lianjia.com/ershoufang/101122237051.html
大有北里,4室2厅,125.8,南 北,精装,顶层(共6层),板楼,1450.0,115263,21, 8个月以前发布,https://bj.lianjia.com/ershoufang/101124575880.html
鲁能7号院溪园,2室1厅,85.91,南,精装,低楼层(共14层),板楼,229.0,26656,6, 8天以前发布,https://bj.lianjia.com/ershoufang/101126037800.html
海户西里31号院,2室1厅,52.57,南 北,精装,中楼层(共6层),板楼,249.0,47366,37, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124808740.html
北窑地,2室1厅,56.62,南 北,简装,中楼层(共6层),板楼,217.0,38326,23, 1个月以前发布,https://bj.lianjia.com/ershoufang/101120723882.html
京城雅居,5室1厅,207.34,南 北,精装,中楼层(共5层),板楼,750.0,36173,51, 一年前发布,https://bj.lianjia.com/ershoufang/101122883299.html
gogo新世代,1室0厅,37.98,西,简装,中楼层(共30层),2005年,189.0,49764,34, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123891388.html
恒华安纳湖,2室1厅,88.49,南 北,简装,低楼层(共16层),2011年,165.0,18647,22, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125165631.html
莲花池西路6号院,3室2厅,104.2,东南,精装,中楼层(共20层),塔楼,666.0,63916,11, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124215035.html
天时名苑,3室2厅,155.68,南 西南,简装,中楼层(共20层),板塔结合,680.0,43680,16, 4个月以前发布,https://bj.lianjia.com/ershoufang/101121375161.html
西便门西里,2室1厅,59.24,东 南 西,毛坯,高楼层(共20层),塔楼,550.0,92843,4, 13天以前发布,https://bj.lianjia.com/ershoufang/101121197938.html
中海紫御公馆,2室2厅,92.05,南,精装,高楼层(共22层),板塔结合,1050.0,114069,17, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125840503.html
月华新村,2室2厅,75.55,南 北,简装,低楼层(共6层),板楼,179.0,23693,0, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125997831.html
温馨家园,2室1厅,68.8,南 北,简装,中楼层(共7层),板楼,1086.0,157849,18, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123782440.html
三家店新建路,2室1厅,65.85,南 北,简装,底层(共6层),板楼,119.0,18072,15, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125966897.html
行宫园,3室1厅,99.11,南 北,简装,底层(共12层),板塔结合,123.0,12411,64, 10个月以前发布,https://bj.lianjia.com/ershoufang/101122741190.html
和悦居10号院,2室1厅,81.76,南 北,精装,低楼层(共14层),板楼,228.0,27887,12, 1个月以前发布,https://bj.lianjia.com/ershoufang/101118348938.html
中粮天恒天悦壹号,4室1厅,136.69,南 北,毛坯,中楼层(共14层),板楼,999.0,73086,49, 11个月以前发布,https://bj.lianjia.com/ershoufang/101123221922.html
政通路西里,3室1厅,83.23,南 北,简装,中楼层(共6层),板楼,166.0,19945,4, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123318209.html
山水蓝维,3室2厅,152.85,南 西 北,精装,中楼层(共6层),板楼,1030.0,67387,39, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125033530.html
西罗园四区,1室1厅,40.95,南,精装,高楼层(共6层),板楼,186.0,45422,23, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126048228.html
青荷里南山园,2室1厅,82.67,南,精装,中楼层(共29层),2015年,310.0,37499,22, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125917637.html
海澜中苑,2室1厅,90.57,南 北,精装,高楼层(共6层),板楼,520.0,57415,8, 18天以前发布,https://bj.lianjia.com/ershoufang/101123957152.html
花家地西里二区,3室1厅,98.22,南 北,精装,6层,板楼,588.0,59866,19, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125307021.html
新居里,2室1厅,68.1,南 北,简装,底层(共6层),板楼,186.0,27313,10, 24天以前发布,https://bj.lianjia.com/ershoufang/101122254163.html
首邑溪谷,2室1厅,46.29,南 北,精装,低楼层(共15层),2013年,230.0,49687,31, 4个月以前发布,https://bj.lianjia.com/ershoufang/101122338120.html
义宾南区,2室1厅,62.47,东 西,精装,高楼层(共6层),1988年,153.0,24492,17, 4个月以前发布,https://bj.lianjia.com/ershoufang/101126105884.html
倒座庙,1室1厅,45.89,南 北,精装,中楼层(共6层),板楼,449.0,97843,4, 20天以前发布,https://bj.lianjia.com/ershoufang/101125997831.html
云景里,3室1厅,110.35,南 北,简装,高楼层(共6层),1995年,289.0,26190,12, 1个月以前发布,https://bj.lianjia.com/ershoufang/101126214107.html
中海金玺公馆,3室2厅,112.11,南 北,毛坯,高楼层(共20层),板楼,780.0,69575,11, 20天以前发布,https://bj.lianjia.com/ershoufang/101121079918.html
西便门内大街79号院,2室1厅,52.59,东南,精装,底层(共4层),板楼,466.0,88611,10, 8个月以前发布,https://bj.lianjia.com/ershoufang/101121784853.html
石佛营西里小区,2室1厅,75.8,南 北,简装,15层,板楼,345.0,45515,19, 6天以前发布,https://bj.lianjia.com/ershoufang/101123221922.html
北大地四里,2室1厅,52.0,南 北,简装,中楼层(共5层),板楼,228.0,43847,51, 8个月以前发布,https://bj.lianjia.com/ershoufang/101126218217.html
金星园,2室1厅,98.66,西南 西,简装,高楼层(共21层),塔楼,1030.0,104399,11, 3个月以前发布,https://bj.lianjia.com/ershoufang/101124575880.html
玉泉路西街2号院,2室1厅,54.6,东 西,精装,中楼层(共6层),1986年,232.0,42491,47, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123782440.html
今日家园,2室1厅,100.85,西,精装,低楼层(共24层),2001年,649.0,64353,49, 4个月以前发布,https://bj.lianjia.com/ershoufang/101122741190.html
海华堂,2室1厅,87.55,西南 东北,简装,高楼层(共33层),塔楼,480.0,54826,21, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125966897.html
逸成东苑,2室1厅,75.19,东南,精装,22层,2003年,696.0,92566,33, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125978573.html
四季怡园北区,2室1厅,69.53,东 南 北,精装,中楼层(共20层),2018年,256.0,36819,2, 16天以前发布,https://bj.lianjia.com/ershoufang/101125232814.html
颐源居小区,1室1厅,49.66,西南,精装,高楼层(共28层),1999年,486.0,97866,10, 23天以前发布,https://bj.lianjia.com/ershoufang/101125482581.html
静源居,2室1厅,107.14,西,精装,低楼层(共23层),2002年,950.0,88670,10, 1个月以前发布,https://bj.lianjia.com/ershoufang/101122528087.html
海运仓小区,1室1厅,47.95,南,精装,中楼层(共7层),板楼,515.0,107404,11, 22天以前发布,https://bj.lianjia.com/ershoufang/101125683470.html
金隅丽景园,2室1厅,68.96,东,简装,28层,2009年,220.0,31903,25, 1个月以前发布,https://bj.lianjia.com/ershoufang/101123797756.html
国美第一城3号院,2室2厅,79.52,东北,精装,27层,2007年,395.0,49674,50, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124901409.html
海淀路小区,2室1厅,43.9,东,精装,5层,板楼,380.0,86561,37, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125102756.html
万科城市花园,3室2厅,108.3,南 北,简装,底层(共5层),板楼,430.0,39705,20, 1个月以前发布,https://bj.lianjia.com/ershoufang/101126099201.html
世纪东方城北区,1室1厅,72.95,南,精装,中楼层(共11层),板楼,385.0,52776,43, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125428490.html
新华街一里,3室1厅,68.72,南 北,简装,低楼层(共6层),板楼,299.0,43510,87, 7个月以前发布,https://bj.lianjia.com/ershoufang/101126073196.html
安慧里三区,4室2厅,155.65,南 北,精装,低楼层(共18层),1990年,920.0,59107,46, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125079024.html
龙泽苑东区,3室1厅,121.8,东 西,简装,6层,板楼,485.0,39820,8, 6天以前发布,https://bj.lianjia.com/ershoufang/101122877521.html
期颐百年,3室1厅,66.26,南,精装,顶层(共9层),2010年,290.0,43767,90, 6个月以前发布,https://bj.lianjia.com/ershoufang/101126088575.html
农光里,1室1厅,48.05,南,简装,高楼层(共24层),1996年,269.0,55984,23, 11个月以前发布,https://bj.lianjia.com/ershoufang/101124573368.html
首开缇香郡二期,3室1厅,90.12,南 北,其他,中楼层(共10层),板楼,226.0,25078,1, 16天以前发布,https://bj.lianjia.com/ershoufang/101125845290.html
首开熙悦山熹园1号院,2室1厅,88.04,南 北,简装,中楼层(共20层),2013年,279.0,31691,11, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125786137.html
十里堡北里,2室1厅,59.07,西北,简装,中楼层(共21层),1991年,275.0,46555,51, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125436117.html
秀水园,2室1厅,69.53,东南 北,简装,14层,板楼,368.0,52927,102, 6个月以前发布,https://bj.lianjia.com/ershoufang/101124605200.html
开园小区,2室2厅,101.04,北 南,精装,18层,2011年,200.0,19795,0, 30天以前发布,https://bj.lianjia.com/ershoufang/101126076556.html
自由度,2室1厅,92.12,西北,精装,中楼层(共8层),2002年,504.0,54712,59, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123841925.html
汤HOUSE,5室3厅,232.26,南 北,其他,3层,板楼,680.0,29278,6, 1个月以前发布,https://bj.lianjia.com/ershoufang/101121285596.html
将府锦苑,1室1厅,51.01,南,精装,中楼层(共28层),板楼,249.0,48814,14, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125858441.html
新纪家园,2室1厅,82.1,东南,精装,中楼层(共28层),2003年,650.0,79172,28, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125820618.html
景粼原著,3室2厅,138.4,南 西 北,精装,高楼层(共11层),板楼,1030.0,74422,10, 11个月以前发布,https://bj.lianjia.com/ershoufang/101125596388.html
太阳公元北区,4室2厅,219.87,南 北,精装,中楼层(共22层),2011年,3120.0,141903,19, 3个月以前发布,https://bj.lianjia.com/ershoufang/101126086815.html
通惠家园,2室1厅,75.65,南,简装,28层,2001年,399.0,52743,23, 18天以前发布,https://bj.lianjia.com/ershoufang/101126044008.html
望馨花园,4室2厅,203.56,南 北,精装,顶层(共5层),板楼,1125.0,55267,16, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125939764.html
融泽嘉园西二路2号院,2室1厅,87.13,南 北,精装,34层,2016年,485.0,55664,9, 24天以前发布,https://bj.lianjia.com/ershoufang/101124234493.html
金汉绿港三区,3室2厅,95.12,南 北,简装,高楼层(共18层),2009年,318.0,33432,35, 4个月以前发布,https://bj.lianjia.com/ershoufang/101124903266.html
飘HOME,1室1厅,59.89,西,简装,低楼层(共25层),2004年,288.0,48089,18, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125154475.html
居善园,1室0厅,46.25,西,简装,低楼层(共18层),板楼,85.0,18379,3, 6个月以前发布,https://bj.lianjia.com/ershoufang/101123707011.html
天通苑东二区,3室1厅,146.08,西南,简装,高楼层(共7层),2001年,329.0,22522,47, 2个月以前发布,https://bj.lianjia.com/ershoufang/101121620329.html
临镜苑,4室2厅,156.91,西南,精装,高楼层(共16层),2008年,497.0,31675,25, 3个月以前发布,https://bj.lianjia.com/ershoufang/101122808783.html
悦君家园,2室1厅,75.18,南 西,精装,16层,板楼,225.0,29929,25, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123103452.html
板桥南街8号院,3室1厅,108.69,南 北,精装,顶层(共11层),板楼,175.0,16101,22, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125888287.html
金家村1号院,3室1厅,86.46,南 北,简装,顶层(共6层),板楼,380.0,43951,64, 4个月以前发布,https://bj.lianjia.com/ershoufang/101124277302.html
加州水郡三期,1室1厅,58.66,南,精装,中楼层(共15层),2009年,139.0,23696,27, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125736794.html
青荷里南山园,3室2厅,103.1,南 北,简装,中楼层(共29层),板楼,376.0,36470,32, 10个月以前发布,https://bj.lianjia.com/ershoufang/101124128440.html
长阳半岛2号院,2室1厅,87.65,南 北,精装,低楼层(共28层),2012年,295.0,33657,14, 1个月以前发布,https://bj.lianjia.com/ershoufang/101122971758.html
大方居,2室2厅,89.25,西,精装,高楼层(共22层),板塔结合,265.0,29692,40, 7个月以前发布,https://bj.lianjia.com/ershoufang/101125277765.html
龙华园,2室1厅,71.91,南 北,精装,6层,板楼,325.0,45196,87, 3个月以前发布,https://bj.lianjia.com/ershoufang/101124454262.html
南平里,2室1厅,59.8,南 北,精装,顶层(共6层),板楼,140.0,23412,5, 8天以前发布,https://bj.lianjia.com/ershoufang/101123631719.html
美立方,3室1厅,128.79,东 北 南,精装,低楼层(共17层),板楼,791.0,61418,56, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125858441.html
赵公口小区,2室1厅,57.42,南,简装,中楼层(共6层),板楼,258.0,44933,47, 一年前发布,https://bj.lianjia.com/ershoufang/101126048073.html
锦绣园,1室1厅,67.17,南,精装,低楼层(共8层),板塔结合,112.0,16675,3, 28天以前发布,https://bj.lianjia.com/ershoufang/101123064613.html
北京新天地一期,2室1厅,96.21,南,精装,高楼层(共28层),板塔结合,495.0,51450,2, 16天以前发布,https://bj.lianjia.com/ershoufang/101125051968.html
建欣苑四里,2室1厅,65.91,南 北,精装,低楼层(共6层),板楼,345.0,52345,2, 17天以前发布,https://bj.lianjia.com/ershoufang/101125428490.html
望馨花园,4室2厅,203.56,南 北,精装,顶层(共5层),板楼,1125.0,55267,16, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125952627.html
山水文园三期,2室2厅,120.55,南 北,精装,8层,板楼,999.0,82871,26, 5个月以前发布,https://bj.lianjia.com/ershoufang/101126079025.html
科技大学家属院(海淀),2室1厅,51.7,南,简装,中楼层(共5层),板楼,448.0,86654,12, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125436117.html
天通西苑二区,3室1厅,154.63,南 北,简装,低楼层(共32层),塔楼,350.0,22635,85, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123026836.html
中广宜景湾,2室2厅,106.5,东南,精装,低楼层(共26层),2008年,799.0,75024,7, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125633106.html
丽水嘉园,3室1厅,157.08,东南 北,简装,中楼层(共29层),2001年,1118.0,71174,10, 1个月以前发布,https://bj.lianjia.com/ershoufang/101126088575.html
通惠家园,2室1厅,75.65,南,简装,28层,2001年,399.0,52743,23, 18天以前发布,https://bj.lianjia.com/ershoufang/101125102756.html
万泉寺南里,1室1厅,52.87,南 北,其他,中楼层(共4层),板楼,236.0,44638,8, 23天以前发布,https://bj.lianjia.com/ershoufang/101126099201.html
达富苑,2室2厅,103.31,南 北,简装,中楼层(共7层),板楼,345.0,33395,38, 8个月以前发布,https://bj.lianjia.com/ershoufang/101122365144.html
芳城园一区,3室1厅,176.46,北,简装,高楼层(共19层),1999年,675.0,38253,110, 5个月以前发布,https://bj.lianjia.com/ershoufang/101124419785.html
甘露晴苑,3室1厅,103.51,东南 南,简装,高楼层(共22层),2001年,568.0,54874,18, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125347519.html
佳慧雅园,2室1厅,78.35,西南,简装,低楼层(共16层),2008年,990.0,126357,27, 2个月以前发布,https://bj.lianjia.com/ershoufang/101115039557.html
西罗园四区,1室1厅,68.07,西南,简装,高楼层(共18层),塔楼,319.0,46864,8, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124972637.html
京贸国际公寓,3室2厅,129.59,西南,精装,高楼层(共24层),2004年,408.0,31484,20, 1个月以前发布,https://bj.lianjia.com/ershoufang/101119775963.html
隆盛园,2室1厅,82.74,南 北,简装,顶层(共6层),板塔结合,123.0,14866,29, 一年前发布,https://bj.lianjia.com/ershoufang/101124221650.html
康泽佳苑南区,2室1厅,52.7,南,简装,18层,2014年,188.0,35674,4, 17天以前发布,https://bj.lianjia.com/ershoufang/101123873119.html
懿品阁,2室1厅,69.78,东,精装,中楼层(共18层),塔楼,490.0,70221,26, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124571122.html
蔚园,2室1厅,64.12,南 北,简装,顶层(共6层),板楼,189.0,29476,28, 29天以前发布,https://bj.lianjia.com/ershoufang/101125290187.html
中体奥林匹克花园三期,5室2厅,251.25,南 北,毛坯,3层,2009年,650.0,25871,59, 一年前发布,https://bj.lianjia.com/ershoufang/101124906544.html
领秀慧谷D2区,2室2厅,98.52,东 南 北,简装,低楼层(共13层),板楼,595.0,60394,15, 19天以前发布,https://bj.lianjia.com/ershoufang/101124081069.html
玉海园二里,3室1厅,106.1,南 北,简装,底层(共6层),板楼,735.0,69275,75, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125274944.html
京投银泰万科西华府,3室2厅,138.95,南 北,精装,低楼层(共20层),板楼,860.0,61893,25, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125694921.html
观湖国际,3室2厅,189.01,南 北,精装,中楼层(共26层),2005年,1680.0,88885,92, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125749797.html
懿品阁,2室1厅,69.78,东,精装,中楼层(共18层),塔楼,490.0,70221,26, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124972637.html
芳城园一区,3室1厅,176.46,北,简装,高楼层(共19层),1999年,675.0,38253,110, 5个月以前发布,https://bj.lianjia.com/ershoufang/101115039557.html
隆盛园,2室1厅,82.74,南 北,简装,顶层(共6层),板塔结合,123.0,14866,29, 一年前发布,https://bj.lianjia.com/ershoufang/101123502639.html
珠光逸景二期,2室1厅,74.38,南 北,简装,底层(共6层),2013年,228.0,30654,6, 26天以前发布,https://bj.lianjia.com/ershoufang/101123291105.html
怡然世家,1室1厅,51.86,南,简装,28层,2013年,175.0,33745,3, 5个月以前发布,https://bj.lianjia.com/ershoufang/101122809222.html
国美第一城3号院,2室2厅,79.52,东北,精装,27层,2007年,395.0,49674,50, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124263303.html
永翌公馆,1室1厅,71.06,西,精装,高楼层(共25层),2011年,460.0,64735,14, 5个月以前发布,https://bj.lianjia.com/ershoufang/101124605200.html
管庄西里,2室1厅,64.95,南 北,精装,中楼层(共6层),板楼,315.0,48499,11, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124171299.html
芳群公寓,3室1厅,148.01,南,简装,低楼层(共31层),2000年,698.0,47159,36, 7个月以前发布,https://bj.lianjia.com/ershoufang/101126073196.html
海淀路小区,2室1厅,43.9,东,精装,5层,板楼,380.0,86561,37, 3个月以前发布,https://bj.lianjia.com/ershoufang/101122199380.html
世纪东方城北区,1室1厅,72.95,南,精装,中楼层(共11层),板楼,385.0,52776,43, 3个月以前发布,https://bj.lianjia.com/ershoufang/101124389995.html
新华街一里,3室1厅,68.72,南 北,简装,低楼层(共6层),板楼,299.0,43510,87, 7个月以前发布,https://bj.lianjia.com/ershoufang/101123914242.html
