地址,户型,面积,朝向,装修,楼层,购买时间,总价,单价,关注度,发布时间,链接
绿林苑,2室1厅,95.89,东 南 北,精装,低楼层(共7层),板楼,448.0,46721,43, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123650846.html
住欣家园,2室1厅,68.91,西南,简装,中楼层(共26层),2010年,261.0,37876,60, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125002460.html
润泽悦溪,2室2厅,84.23,南 北,精装,低楼层(共11层),2010年,719.0,85362,19, 7个月以前发布,https://bj.lianjia.com/ershoufang/101123387949.html
圆明园花园别墅,3室2厅,127.92,南 北,精装,6层,板楼,960.0,75047,70, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125998113.html
农林路社区,2室1厅,76.05,东 西,精装,中楼层(共6层),2000年,88.0,11572,2, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126007459.html
珠江绿洲,1室1厅,75.59,东北,简装,中楼层(共31层),2004年,318.0,42070,34, 4个月以前发布,https://bj.lianjia.com/ershoufang/101123279056.html
东滨河路2号院,2室1厅,83.24,南 北,简装,低楼层(共16层),1997年,485.0,58266,15, 21天以前发布,https://bj.lianjia.com/ershoufang/101125993607.html
宣武门西大街南区,2室1厅,50.65,南,精装,底层(共12层),板楼,466.0,92004,31, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123030057.html
10AM新坐标,1室1厅,46.06,南,简装,26层,2005年,229.0,49718,6, 6个月以前发布,https://bj.lianjia.com/ershoufang/101125158035.html
黑山东街,3室1厅,55.91,东 南 北,精装,中楼层(共6层),板楼,150.0,26829,36, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125039549.html
世界名园D区,2室2厅,97.08,南 北,简装,中楼层(共9层),2016年,125.0,12876,8, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125851567.html
田村山南路18号院,2室1厅,71.31,南 北,精装,低楼层(共6层),1999年,416.0,58337,41, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125229075.html
金地格林6,3室2厅,158.6,南 北,精装,中楼层(共5层),板楼,530.0,33418,6, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126020586.html
林海园,2室1厅,85.32,南 北,简装,底层(共6层),板楼,155.0,18167,32, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125033530.html
首邑溪谷,3室1厅,59.81,南 北,精装,高楼层(共16层),2012年,327.0,54674,6, 29天以前发布,https://bj.lianjia.com/ershoufang/101123371950.html
顺源里,2室1厅,49.02,东南,简装,中楼层(共12层),1984年,355.0,72420,20, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125917637.html
汇景苑二区,2室1厅,86.88,南,简装,低楼层(共29层),2016年,386.0,44430,18, 2个月以前发布,https://bj.lianjia.com/ershoufang/101120577896.html
翠成馨园E区,2室1厅,93.32,东南 北,简装,28层,2009年,339.0,36327,8, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125171112.html
芳怡园,1室1厅,54.68,东 西,简装,10层,板楼,406.0,74251,8, 20天以前发布,https://bj.lianjia.com/ershoufang/101126063219.html
青荷里南山园,2室1厅,82.67,南,精装,中楼层(共29层),2015年,310.0,37499,22, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125538110.html
西罗园四区,1室1厅,40.95,南,精装,高楼层(共6层),板楼,186.0,45422,23, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124041350.html
西便门内大街79号院,2室1厅,52.59,东南,精装,底层(共4层),板楼,466.0,88611,10, 8个月以前发布,https://bj.lianjia.com/ershoufang/101122254163.html
铭科苑,2室1厅,66.3,东 西,精装,6层,板楼,385.0,58070,6, 16天以前发布,https://bj.lianjia.com/ershoufang/101123221922.html
八宝山南路29号院,1室1厅,59.08,南 北,精装,中楼层(共6层),1998年,215.0,36392,1, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125438389.html
地震局宿舍,1室1厅,46.66,南,简装,高楼层(共6层),1994年,179.0,38363,45, 4个月以前发布,https://bj.lianjia.com/ershoufang/101121784853.html
知春路82号院,3室1厅,70.1,西南,简装,中楼层(共18层),2002年,880.0,125535,16, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125110685.html
石佛营西里小区,2室1厅,75.8,南 北,简装,15层,板楼,345.0,45515,19, 6天以前发布,https://bj.lianjia.com/ershoufang/101123371950.html
芳群园二区,2室1厅,58.65,南 北,简装,顶层(共5层),板楼,310.0,52856,11, 9个月以前发布,https://bj.lianjia.com/ershoufang/101122338120.html
北京邮电大学家属院,2室1厅,50.1,南,精装,5层,板楼,369.0,73653,54, 5个月以前发布,https://bj.lianjia.com/ershoufang/101126218217.html
恒大名都,1室1厅,60.25,西,简装,中楼层(共29层),2017年,307.0,50955,10, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126060189.html
山水蓝维,3室2厅,152.85,南 西 北,精装,中楼层(共6层),板楼,1030.0,67387,39, 3个月以前发布,https://bj.lianjia.com/ershoufang/101126105884.html
花家地西里二区,3室1厅,98.22,南 北,精装,6层,板楼,588.0,59866,19, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123782440.html
新居里,2室1厅,68.1,南 北,简装,底层(共6层),板楼,186.0,27313,10, 24天以前发布,https://bj.lianjia.com/ershoufang/101125967313.html
北大地四里,2室1厅,52.0,南 北,简装,中楼层(共5层),板楼,228.0,43847,51, 8个月以前发布,https://bj.lianjia.com/ershoufang/101122237051.html
大有北里,4室2厅,125.8,南 北,精装,顶层(共6层),板楼,1450.0,115263,21, 8个月以前发布,https://bj.lianjia.com/ershoufang/101124575880.html
鲁能7号院溪园,2室1厅,85.91,南,精装,低楼层(共14层),板楼,229.0,26656,6, 8天以前发布,https://bj.lianjia.com/ershoufang/101126037800.html
周庄子家园,2室1厅,79.17,南,精装,中楼层(共28层),板楼,540.0,68208,38, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123519411.html
兴隆家园,2室1厅,90.04,西南,简装,24层,塔楼,475.0,52755,24, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124783972.html
双龙南里,2室1厅,64.93,东南,精装,低楼层(共18层),塔楼,299.0,46050,31, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125061976.html
首创禧瑞墅,4室6厅,252.51,南 北,精装,上叠(共3层),板楼,750.0,29702,22, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123008378.html
忠实里,2室1厅,59.42,西北,简装,高楼层(共16层),塔楼,530.0,89196,17, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123881218.html
天通苑北二区,2室1厅,113.72,南 北,简装,高楼层(共17层),2004年,389.0,34207,29, 6个月以前发布,https://bj.lianjia.com/ershoufang/101124821099.html
中国铁建原香漫谷二区,3室1厅,92.83,南 北 西,精装,中楼层(共20层),2015年,170.0,18314,8, 6个月以前发布,https://bj.lianjia.com/ershoufang/101124808740.html
冠雅苑,2室2厅,74.22,南 北,简装,低楼层(共6层),板楼,205.0,27621,10, 26天以前发布,https://bj.lianjia.com/ershoufang/101126087422.html
板桥南街7号院,1室1厅,56.06,南 北,简装,中楼层(共15层),2015年,96.0,17125,91, 4个月以前发布,https://bj.lianjia.com/ershoufang/101126090618.html
三家店新建路,2室1厅,65.85,南 北,简装,底层(共6层),板楼,119.0,18072,15, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125527774.html
新兴家园,2室1厅,90.31,南 北,精装,10层,板楼,215.0,23807,7, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124336152.html
东辛房,2室1厅,64.22,南 北,简装,顶层(共2层),板楼,128.0,19932,1, 15天以前发布,https://bj.lianjia.com/ershoufang/101125840503.html
海户西里31号院,2室1厅,52.57,南 北,精装,中楼层(共6层),板楼,249.0,47366,37, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123318209.html
王皮胡同,1室0厅,16.6,南,精装,底层(共1层),平房,230.0,138555,7, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125578787.html
水碓子东路,2室1厅,55.55,南,简装,高楼层(共6层),板楼,269.0,48425,9, 15天以前发布,https://bj.lianjia.com/ershoufang/101123891388.html
北窑地,2室1厅,56.62,南 北,简装,中楼层(共6层),板楼,217.0,38326,23, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125447925.html
澳洲康都,2室1厅,86.8,南 东,精装,低楼层(共28层),2006年,696.0,80185,71, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125589460.html
北滨河路2号院,3室1厅,75.0,东南,精装,低楼层(共20层),板塔结合,1205.0,160667,18, 1个月以前发布,https://bj.lianjia.com/ershoufang/101122757115.html
听竹院,1室1厅,55.43,南,简装,中楼层(共7层),2017年,142.0,25618,37, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125165631.html
万科蓝蓝沁家园,2室1厅,73.4,南 北,精装,低楼层(共18层),2014年,475.0,64714,32, 5个月以前发布,https://bj.lianjia.com/ershoufang/101121375161.html
沿海赛洛城二期,1室0厅,58.08,南,简装,24层,板楼,270.0,46488,9, 29天以前发布,https://bj.lianjia.com/ershoufang/101125849375.html
中海紫御公馆,2室2厅,92.05,南,精装,高楼层(共22层),板塔结合,1050.0,114069,17, 2个月以前发布,https://bj.lianjia.com/ershoufang/101121079918.html
卢沟桥南里,1室1厅,38.19,南,精装,高楼层(共6层),板楼,138.0,36136,17, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123221922.html
行宫园,3室1厅,99.11,南 北,简装,底层(共12层),板塔结合,123.0,12411,64, 10个月以前发布,https://bj.lianjia.com/ershoufang/101125110685.html
金泰先锋北区,2室1厅,91.35,南,精装,18层,2008年,725.0,79366,6, 31天以前发布,https://bj.lianjia.com/ershoufang/101126060189.html
中海金玺公馆,3室2厅,112.11,南 北,毛坯,高楼层(共20层),板楼,780.0,69575,11, 20天以前发布,https://bj.lianjia.com/ershoufang/101124884836.html
义宾南区,2室1厅,62.47,东 西,精装,高楼层(共6层),1988年,153.0,24492,17, 4个月以前发布,https://bj.lianjia.com/ershoufang/101126105884.html
大有北里,4室2厅,125.8,南 北,精装,顶层(共6层),板楼,1450.0,115263,21, 8个月以前发布,https://bj.lianjia.com/ershoufang/101125998141.html
铭科苑,2室1厅,66.3,东 西,精装,6层,板楼,385.0,58070,6, 16天以前发布,https://bj.lianjia.com/ershoufang/101122254163.html
八宝山南路29号院,1室1厅,59.08,南 北,精装,中楼层(共6层),1998年,215.0,36392,1, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125307021.html
北大地四里,2室1厅,52.0,南 北,简装,中楼层(共5层),板楼,228.0,43847,51, 8个月以前发布,https://bj.lianjia.com/ershoufang/101122338120.html
海运仓小区,1室1厅,47.95,南,精装,中楼层(共7层),板楼,515.0,107404,11, 22天以前发布,https://bj.lianjia.com/ershoufang/101124401494.html
玉泉路西街2号院,2室1厅,54.6,东 西,精装,中楼层(共6层),1986年,232.0,42491,47, 3个月以前发布,https://bj.lianjia.com/ershoufang/101121819088.html
金星园,2室1厅,98.66,西南 西,简装,高楼层(共21层),塔楼,1030.0,104399,11, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125964824.html
长馨园,2室1厅,71.71,南 北,简装,中楼层(共15层),2013年,199.0,27751,23, 9个月以前发布,https://bj.lianjia.com/ershoufang/101126079025.html
天堂河北区,2室1厅,70.61,南 北,精装,中楼层(共5层),板楼,176.0,24926,4, 27天以前发布,https://bj.lianjia.com/ershoufang/101126074146.html
金汉绿港四区,3室2厅,168.58,南 北,简装,中楼层(共20层),2010年,510.0,30253,13, 23天以前发布,https://bj.lianjia.com/ershoufang/101125428490.html
米兰花园,2室1厅,97.4,东 西,简装,6层,2004年,260.0,26695,25, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125154475.html
万科紫苑,3室1厅,156.11,南 北,精装,高楼层(共15层),2009年,1150.0,73667,5, 16天以前发布,https://bj.lianjia.com/ershoufang/101123195969.html
通惠家园,2室1厅,75.65,南,简装,28层,2001年,399.0,52743,23, 18天以前发布,https://bj.lianjia.com/ershoufang/101126086815.html
和景园,2室1厅,99.61,东,简装,低楼层(共9层),板楼,670.0,67263,13, 17天以前发布,https://bj.lianjia.com/ershoufang/101120871829.html
富强西里,3室1厅,68.91,南 北,简装,顶层(共5层),板楼,183.0,26557,11, 4个月以前发布,https://bj.lianjia.com/ershoufang/101124302258.html
丽水嘉园,3室1厅,157.08,东南 北,简装,中楼层(共29层),2001年,1118.0,71174,10, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125952627.html
飘HOME,1室1厅,59.89,西,简装,低楼层(共25层),2004年,288.0,48089,18, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125736794.html
悦君家园,2室1厅,75.18,南 西,精装,16层,板楼,225.0,29929,25, 2个月以前发布,https://bj.lianjia.com/ershoufang/101122632002.html
景粼原著,3室2厅,138.4,南 西 北,精装,高楼层(共11层),板楼,1030.0,74422,10, 11个月以前发布,https://bj.lianjia.com/ershoufang/101121124943.html
融泽嘉园西二路2号院,2室1厅,87.13,南 北,精装,34层,2016年,485.0,55664,9, 24天以前发布,https://bj.lianjia.com/ershoufang/101123291105.html
永翌公馆,1室1厅,71.06,西,精装,高楼层(共25层),2011年,460.0,64735,14, 5个月以前发布,https://bj.lianjia.com/ershoufang/101124171299.html
管庄西里,2室1厅,64.95,南 北,精装,中楼层(共6层),板楼,315.0,48499,11, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125899492.html
金汉绿港三区,3室2厅,95.12,南 北,简装,高楼层(共18层),2009年,318.0,33432,35, 4个月以前发布,https://bj.lianjia.com/ershoufang/101124263303.html
国美第一城3号院,2室2厅,79.52,东北,精装,27层,2007年,395.0,49674,50, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124417534.html
珠光逸景二期,2室1厅,74.38,南 北,简装,底层(共6层),2013年,228.0,30654,6, 26天以前发布,https://bj.lianjia.com/ershoufang/101126076556.html
北京机床研究所家属楼,2室1厅,56.94,南 北,其他,顶层(共5层),1980年,59.0,10362,6, 7个月以前发布,https://bj.lianjia.com/ershoufang/101125217705.html
世纪东方城北区,1室1厅,72.95,南,精装,中楼层(共11层),板楼,385.0,52776,43, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123816459.html
新华街一里,3室1厅,68.72,南 北,简装,低楼层(共6层),板楼,299.0,43510,87, 7个月以前发布,https://bj.lianjia.com/ershoufang/101121620329.html
冠城大通澜石,3室1厅,120.47,南 北,精装,中楼层(共26层),2012年,1398.0,116046,17, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123978926.html
怡然世家,1室1厅,51.86,南,简装,28层,2013年,175.0,33745,3, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123103452.html
滨河东里南区,2室1厅,54.98,东 南,简装,中楼层(共6层),板楼,168.0,30557,3, 16天以前发布,https://bj.lianjia.com/ershoufang/101122808783.html
非常生活,1室0厅,41.75,北,简装,23层,2004年,236.0,56527,3, 24天以前发布,https://bj.lianjia.com/ershoufang/101124901409.html
芳园南里,2室1厅,53.97,南 北,简装,底层(共6层),1986年,259.0,47990,23, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125890534.html
先锋公寓,3室1厅,134.65,西 东北,简装,中楼层(共15层),2003年,273.0,20275,25, 6个月以前发布,https://bj.lianjia.com/ershoufang/101123085193.html
富力丹麦小镇D区,2室2厅,99.3,南,精装,8层,板楼,230.0,23163,22, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125636925.html
首创紫悦台,2室1厅,75.15,南 北,精装,低楼层(共24层),2017年,218.0,29009,6, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124454262.html
观林园,3室1厅,141.32,南 北,精装,高楼层(共6层),2011年,1280.0,90575,34, 一年前发布,https://bj.lianjia.com/ershoufang/101123103452.html
龙华园,2室1厅,71.91,南 北,精装,6层,板楼,325.0,45196,87, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125299577.html
朝丰家园8号院,2室1厅,77.6,南 北,精装,底层(共18层),2009年,258.0,33248,33, 1个月以前发布,https://bj.lianjia.com/ershoufang/101126107936.html
芳星园三区,1室1厅,66.62,东南,简装,低楼层(共9层),2000年,269.0,40379,61, 6个月以前发布,https://bj.lianjia.com/ershoufang/101126067584.html
大方居,2室2厅,89.25,西,精装,高楼层(共22层),板塔结合,265.0,29692,40, 7个月以前发布,https://bj.lianjia.com/ershoufang/101125858441.html
右外东庄,2室1厅,74.1,南,简装,16层,塔楼,368.0,49663,19, 1个月以前发布,https://bj.lianjia.com/ershoufang/101126073196.html
首开常青藤二期,3室1厅,91.33,南 北,简装,中楼层(共6层),板楼,625.0,68434,28, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125232814.html
田家园小区,1室0厅,37.82,南 北,简装,高楼层(共6层),2005年,65.0,17187,1, 15天以前发布,https://bj.lianjia.com/ershoufang/101125683470.html
达富苑,2室2厅,103.31,南 北,简装,中楼层(共7层),板楼,345.0,33395,38, 8个月以前发布,https://bj.lianjia.com/ershoufang/101124455191.html
北京风景65号院,3室1厅,104.29,南 北,精装,高楼层(共6层),板楼,416.0,39889,6, 11天以前发布,https://bj.lianjia.com/ershoufang/101125939764.html
北京新天地一期,2室1厅,96.21,南,精装,高楼层(共28层),板塔结合,495.0,51450,2, 16天以前发布,https://bj.lianjia.com/ershoufang/101123291105.html
锦绣园,1室1厅,67.17,南,精装,低楼层(共8层),板塔结合,112.0,16675,3, 28天以前发布,https://bj.lianjia.com/ershoufang/101124389995.html
农光里,1室1厅,48.05,南,简装,高楼层(共24层),1996年,269.0,55984,23, 11个月以前发布,https://bj.lianjia.com/ershoufang/101120755938.html
新华街一里,3室1厅,68.72,南 北,简装,低楼层(共6层),板楼,299.0,43510,87, 7个月以前发布,https://bj.lianjia.com/ershoufang/101124263303.html
世纪东方城北区,1室1厅,72.95,南,精装,中楼层(共11层),板楼,385.0,52776,43, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125845290.html
秀水园,2室1厅,69.53,东南 北,简装,14层,板楼,368.0,52927,102, 6个月以前发布,https://bj.lianjia.com/ershoufang/101126088575.html
开园小区,2室2厅,101.04,北 南,精装,18层,2011年,200.0,19795,0, 30天以前发布,https://bj.lianjia.com/ershoufang/101123798887.html
自由度,2室1厅,92.12,西北,精装,中楼层(共8层),2002年,504.0,54712,59, 5个月以前发布,https://bj.lianjia.com/ershoufang/101124190926.html
首开缇香郡二期,3室1厅,90.12,南 北,其他,中楼层(共10层),板楼,226.0,25078,1, 16天以前发布,https://bj.lianjia.com/ershoufang/101124417534.html
首开熙悦山熹园1号院,2室1厅,88.04,南 北,简装,中楼层(共20层),2013年,279.0,31691,11, 1个月以前发布,https://bj.lianjia.com/ershoufang/101123914242.html
将府锦苑,1室1厅,51.01,南,精装,中楼层(共28层),板楼,249.0,48814,14, 4个月以前发布,https://bj.lianjia.com/ershoufang/101124331167.html
汤HOUSE,5室3厅,232.26,南 北,其他,3层,板楼,680.0,29278,6, 1个月以前发布,https://bj.lianjia.com/ershoufang/101122384159.html
富强西里,3室1厅,68.91,南 北,简装,顶层(共5层),板楼,183.0,26557,11, 4个月以前发布,https://bj.lianjia.com/ershoufang/101121620329.html
北京机床研究所家属楼,2室1厅,56.94,南 北,其他,顶层(共5层),1980年,59.0,10362,6, 7个月以前发布,https://bj.lianjia.com/ershoufang/101123707011.html
冠城大通澜石,3室1厅,120.47,南 北,精装,中楼层(共26层),2012年,1398.0,116046,17, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123102756.html
卢沟桥北里,2室1厅,50.6,南 北,简装,中楼层(共5层),板楼,178.0,35178,2, 14天以前发布,https://bj.lianjia.com/ershoufang/101123873119.html
建材城东二里,3室1厅,83.01,东南 北,精装,中楼层(共22层),2005年,405.0,48790,89, 4个月以前发布,https://bj.lianjia.com/ershoufang/101121660266.html
达富苑,2室2厅,103.31,南 北,简装,中楼层(共7层),板楼,345.0,33395,38, 8个月以前发布,https://bj.lianjia.com/ershoufang/101122365144.html
芳城园一区,3室1厅,176.46,北,简装,高楼层(共19层),1999年,675.0,38253,110, 5个月以前发布,https://bj.lianjia.com/ershoufang/101124419785.html
甘露晴苑,3室1厅,103.51,东南 南,简装,高楼层(共22层),2001年,568.0,54874,18, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125347519.html
佳慧雅园,2室1厅,78.35,西南,简装,低楼层(共16层),2008年,990.0,126357,27, 2个月以前发布,https://bj.lianjia.com/ershoufang/101115039557.html
西罗园四区,1室1厅,68.07,西南,简装,高楼层(共18层),塔楼,319.0,46864,8, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124972637.html
京贸国际公寓,3室2厅,129.59,西南,精装,高楼层(共24层),2004年,408.0,31484,20, 1个月以前发布,https://bj.lianjia.com/ershoufang/101119775963.html
隆盛园,2室1厅,82.74,南 北,简装,顶层(共6层),板塔结合,123.0,14866,29, 一年前发布,https://bj.lianjia.com/ershoufang/101124221650.html
康泽佳苑南区,2室1厅,52.7,南,简装,18层,2014年,188.0,35674,4, 17天以前发布,https://bj.lianjia.com/ershoufang/101123873119.html
懿品阁,2室1厅,69.78,东,精装,中楼层(共18层),塔楼,490.0,70221,26, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124571122.html
蔚园,2室1厅,64.12,南 北,简装,顶层(共6层),板楼,189.0,29476,28, 29天以前发布,https://bj.lianjia.com/ershoufang/101125290187.html
中体奥林匹克花园三期,5室2厅,251.25,南 北,毛坯,3层,2009年,650.0,25871,59, 一年前发布,https://bj.lianjia.com/ershoufang/101124906544.html
领秀慧谷D2区,2室2厅,98.52,东 南 北,简装,低楼层(共13层),板楼,595.0,60394,15, 19天以前发布,https://bj.lianjia.com/ershoufang/101124081069.html
玉海园二里,3室1厅,106.1,南 北,简装,底层(共6层),板楼,735.0,69275,75, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125274944.html
京投银泰万科西华府,3室2厅,138.95,南 北,精装,低楼层(共20层),板楼,860.0,61893,25, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125694921.html
观湖国际,3室2厅,189.01,南 北,精装,中楼层(共26层),2005年,1680.0,88885,92, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125749797.html
太平桥西里,2室1厅,69.28,南,简装,低楼层(共16层),塔楼,388.0,56005,20, 3个月以前发布,https://bj.lianjia.com/ershoufang/101124569893.html
加州水郡三期,1室1厅,53.78,南,简装,高楼层(共14层),2010年,129.0,23987,16, 19天以前发布,https://bj.lianjia.com/ershoufang/101123427396.html
瑞都国际南区,1室1厅,65.04,西 北,精装,低楼层(共24层),2005年,229.0,35210,25, 5个月以前发布,https://bj.lianjia.com/ershoufang/101122563716.html
南平里,2室1厅,62.21,南 北,精装,高楼层(共6层),板楼,180.0,28935,17, 2个月以前发布,https://bj.lianjia.com/ershoufang/101124386374.html
阳光上东,3室1厅,189.69,南 北 东,精装,底层(共9层),2008年,1368.0,72118,92, 7个月以前发布,https://bj.lianjia.com/ershoufang/101126089510.html
紫金新干线,1室0厅,46.61,南,精装,高楼层(共9层),2009年,293.0,62863,14, 2个月以前发布,https://bj.lianjia.com/ershoufang/101123981878.html
澜西园四区,2室1厅,83.55,南 北,简装,低楼层(共11层),2013年,209.0,25015,17, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125128402.html
海特花园西区,2室2厅,92.85,南 北,精装,中楼层(共7层),1995年,355.0,38234,14, 1个月以前发布,https://bj.lianjia.com/ershoufang/101121974367.html
天通苑北三区,4室2厅,168.37,南 北,简装,高楼层(共7层),板楼,428.0,25421,11, 15天以前发布,https://bj.lianjia.com/ershoufang/101125206465.html
DBC加州小镇,1室0厅,42.37,南,简装,中楼层(共11层),2005年,155.0,36583,10, 14天以前发布,https://bj.lianjia.com/ershoufang/101125541141.html
安慧里一区,2室1厅,79.03,南 北 西,精装,低楼层(共18层),1991年,505.0,63900,99, 4个月以前发布,https://bj.lianjia.com/ershoufang/101124840141.html
益星园,2室2厅,108.68,南 北,简装,高楼层(共10层),板楼,760.0,69931,82, 5个月以前发布,https://bj.lianjia.com/ershoufang/101124650740.html
